Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Qty,Price,Amount,SaleExclGST,GSTP,GST,DiscPer,DiscAmount,BarcodeDiscPer,BarcodeDiscount,NetAmount,PointsEarned,TaxPer,BillNo,BillDate,LoyaltyCard,Customer,Description,BillMonth,Warehouse,RegionName,Location,DepartmentName,BrandName,DesignNo,Rejection,SeasonName,Inventory_status,Offers,Import_type,Attribute5,Class_of_cloth,LocalImport,Color,Sizes,DiscountType,SalesReturnReason,Cobrand Acc
663295,663295,663295,663295,1.0,2437.725566423214,2259.0,2034.0,6.0,99.86487176196346,0.0,0.0,40.0,1356.0,2217.0,0.0,9,SL1C-201218-00014,2018-12-20,Yes,Returning_Costumer,NIC- 58642-1100009-1,2018-12,No,1-KARACHI,TCS LUCKY ONE - CAMBRIDGE,CAMBRIDGE ,PRINCIPLE SHIRT ,B10489,No,EID FESTIVAL 2017,1 Year & Above (Discounted),No Offer,PAKISTAN ,No information,Premium,Local,WHITE,15,No Discount,No information available,F/S PRINCIPLE POPLIN LUXE MILANO
622539,622539,622539,622539,1.0,1882.0,1882.0,1317.0,6.0,79.0,0.0,0.0,30.0,565.0,1396.0,0.0,9,SL1C-040918-00037,2018-09-04,Yes,Returning_Costumer,No information,2018-09,No,1-KARACHI,TCS LUCKY ONE - CAMBRIDGE,CAMBRIDGE ,CAMBRIDGE FULL SLEEVE ,B13484,No,SUMMER 2018,Summer Sale ,No Offer,PAKISTAN ,B,Regular,Local,RED,15½  ,No Discount,No information available,F/S ESSENTIALS MENS FORMAL SHIRTS
218016,218016,218016,218016,1.0,2376.0,2376.0,1663.0,5.0,83.0,0.0,0.0,30.0,713.0,1746.0,0.0,6,SDMH-110217-00053,2017-02-11,Yes,Returning_Costumer,No information,2017-02,No,1-KARACHI,TCS Dolmen Mall -Hyderi,CAMBRIDGE ,EXECUTIVE ,B13007,No,SUMMER 2017,1 Year & Above (Discounted),No Offer,PAKISTAN ,No information,Regular,Local,RED,16,No Discount,No information available,F/S CAMBRIDGE EXECUTIVE 
535105,535105,535105,535105,1.0,2354.0,2354.0,1648.0,6.0,99.0,0.0,0.0,30.0,706.0,1747.0,0.0,6,SPEG-240218-00033,2018-02-24,Yes,Returning_Costumer,No information,2018-02,No,1-KARACHI,TCS GULSHAN,CAMBRIDGE ,EXECUTIVE ,B13302,No,WINTER 2017 - 2018,1 Year & Above (Discounted),No Offer,PAKISTAN ,No information,Regular,Local,RED,14½  ,No Discount,No information available,F/S CAMBRIDGE EXECUTIVE 
459027,459027,459027,459027,1.0,2014.0,2014.0,1732.0,6.0,99.86487176196346,0.0,0.0,14.0,282.0,1888.0,0.0,6,SDMH-110818-00022,2018-08-11,Yes,Returning_Costumer,No information,2018-08,No,1-KARACHI,TCS Dolmen Mall -Hyderi,CAMBRIDGE ,LUXER,B11176,No,SUMMER 2018,Active (Fresh),No Offer,PAKISTAN ,B,Regular,Local,YELLOW,16,No Discount,No information available,F/S LUXER YARN DYED 
340602,340602,340602,340602,1.0,2376.0,2376.0,1426.0,5.0,71.0,0.0,0.0,40.0,950.0,1497.0,0.0,6,SPEG-150717-00006,2017-07-15,Yes,Returning_Costumer,No information,2017-07,No,1-KARACHI,TCS GULSHAN,CAMBRIDGE ,EXECUTIVE ,B9988-B,No,SUMMER 2016,No Stock,No Offer,PAKISTAN ,B,Regular,Local,RED,14½  ,No Discount,No information available,F/S CAMBRIDGE EXECUTIVE 
644238,644238,644238,644238,1.0,2354.0,2354.0,1177.0,6.0,71.0,0.0,0.0,50.0,1177.0,1248.0,0.0,9,STMS-081118-00100,2018-11-08,Yes,Returning_Costumer,No information,2018-11,No,1-KARACHI,TCS MODERN SADDAR HYD,LICENSE ,LICENSE HALF SLEEVE ,B5793C,No,SUMMER 2018,Summer Sale ,No Offer,PAKISTAN ,B,No information,Local,ORANGE,MED  ,No Discount,No information available,H/S SEERSUCKER SHIRT
213377,213377,213377,213377,1.0,2376.0,2376.0,1663.0,5.0,83.0,0.0,0.0,30.0,713.0,1746.0,0.0,6,SDLC-140317-00051,2017-03-14,Yes,Returning_Costumer,No information,2017-03,No,1-KARACHI,TCS DOLMEN CITY ,CAMBRIDGE ,EXECUTIVE ,B9990,No,WINTER 2016-2017,1 Year & Above (Discounted),No Offer,PAKISTAN ,B,Regular,Local,RED,15½  ,No Discount,No information available,F/S CAMBRIDGE EXECUTIVE 
454577,454577,454577,454577,1.0,2071.0,2071.0,1450.0,6.0,87.0,0.0,0.0,30.0,621.0,1537.0,0.0,6,SDLC-270118-00192,2018-01-27,Yes,Returning_Costumer,No information,2018-01,No,1-KARACHI,TCS DOLMEN CITY ,LICENSE ,LICENSE FULL SLEEVE ,B5672,No,WINTER 2017 - 2018,1 Year & Above (Discounted),Slim Fit,PAKISTAN ,No information,No information,Local,NAVY,SML  ,No Discount,No information available,OXFORD LICENSE F/S
204511,204511,204511,204511,1.0,1805.0,1805.0,1805.0,5.0,90.0,0.0,0.0,0.0,0.0,1895.0,0.0,6,SALS-050317-00027,2017-03-05,Yes,Returning_Costumer,No information,2017-03,No,3-NORTH ,AL SAEED SUPER STORE ,CAMBRIDGE ,LUXER,B-316,No,SUMMER 2016,1 Year & Above (Discounted),No Offer,PAKISTAN ,No information,Regular,Local,RED,15½  ,No Discount,No information available,F/S LUXER PLAIN 
